asset_path,sha256,unit_audio_id,runtime_roles
audio/classic/units/dark_templar/attack/alias_dark_templar_PDTYes02__49218af61c.wav,49218af61cf1d4b558e76d9259abfb7d74bf9289646ef17a280af6d36e0bf433,dark_templar,attack
audio/classic/units/dark_templar/attack/alias_dark_templar_PDTYes03__61fb114366.wav,61fb114366e7d6cae22cd08f28ebee6fe95f5fb6429c86b853d26659de83276e,dark_templar,attack
audio/classic/units/dark_templar/death/PDTDth00__7a5545dba5.wav,7a5545dba5dd96af6334b119886d6fa327ecf343340a66618ad148ca3cfef977,dark_templar,death
audio/classic/units/dark_templar/move/PDTYes00__337588aac7.wav,337588aac70b149787b6a7a1c387b9593ea1333b51b5d8c0325b2ec1ce812036,dark_templar,move
audio/classic/units/dark_templar/move/PDTYes01__c77ed3b1d2.wav,c77ed3b1d23e0821a5f9c5c24f71235d998e940e6d808d223457f273bfa37b48,dark_templar,move
audio/classic/units/dark_templar/move/PDTYes02__49218af61c.wav,49218af61cf1d4b558e76d9259abfb7d74bf9289646ef17a280af6d36e0bf433,dark_templar,move
audio/classic/units/dark_templar/move/PDTYes03__61fb114366.wav,61fb114366e7d6cae22cd08f28ebee6fe95f5fb6429c86b853d26659de83276e,dark_templar,move
audio/classic/units/dragoon/chatter/PDrPss00__1d47f3219f.wav,1d47f3219fdf8a706f30d1e3ea3682b7eb2027fb9dba418cb0246cc833765464,dragoon,chatter
audio/classic/units/dragoon/chatter/PDrPss01__f6d00ba046.wav,f6d00ba0467b9e790240795d1628e880023863764b7fd635fbd23556d64751dd,dragoon,chatter
audio/classic/units/dragoon/chatter/PDrPss02__b7ed3b90d6.wav,b7ed3b90d65301e7f749be64ecd218b529299230634a26bbb8368b31041ba34a,dragoon,chatter
audio/classic/units/dragoon/chatter/PDrPss03__fa6a8d924a.wav,fa6a8d924a8a9a3c00f974807d2b4bc59599019cabb567ea4fb787770d6e7097,dragoon,chatter
audio/classic/units/dragoon/move/PDrWht00__b755ef97f9.wav,b755ef97f9dcb5f1426df2905ce17258eb875fd1bdbbad742f4d097502005d37,dragoon,move
audio/classic/units/dragoon/move/PDrWht01__1f21129326.wav,1f21129326afa39d7c64489095810c973a85f26fa99932f1d4ee31c23db65a70,dragoon,move
audio/classic/units/dragoon/move/PDrWht02__70b44c2406.wav,70b44c2406cf819f2ded5a7a0049a06a136d14a014443b67cd3525976635e348,dragoon,move
audio/classic/units/dragoon/move/PDrWht03__59a766cf77.wav,59a766cf77c591e9c87755956f0a0976ab1b59c66aa257d70af1465ddaa34536,dragoon,move
audio/classic/units/dragoon/move/PDrWht04__3c4611436f.wav,3c4611436fb322af829377c028194a730a9535fde08593218d370ea1842839ae,dragoon,move
audio/classic/units/dragoon/move/PDrWht05__b4fe7d4e61.wav,b4fe7d4e610a8d85fe66757876b909ae6cf1179609b7fca72e27078cac8e9271,dragoon,move
audio/classic/units/dragoon/move/PDrWht06__da3b0af41d.wav,da3b0af41db99bbdd145b5ddad4356f6c2fcf9ae869bacbb53e99b51c07ae5e1,dragoon,move
audio/classic/units/dragoon/move/PDrYes00__94b5f6ac91.wav,94b5f6ac91b18f554eb4147d140636312b8d8f2a301518cf330afda387859396,dragoon,move
audio/classic/units/dragoon/move/PDrYes01__c8a0935d59.wav,c8a0935d5996d9b1642965921c067f608cc4e5869c52d7ce38f0c971fc5f2ca3,dragoon,move
audio/classic/units/dragoon/move/PDrYes02__6af6ced60a.wav,6af6ced60a63b786a5308ee92732115c0a663303e9816d9ca0ff6c1aff28dbbc,dragoon,move
audio/classic/units/dragoon/move/PDrYes03__b04819a6be.wav,b04819a6bef914f01a494038578d4aef9e8ae9f0e472da24bcc228c014767a04,dragoon,move
audio/classic/units/dragoon/move/PDrYes04__fdad8f8db6.wav,fdad8f8db62caf86e1536fd33977d7566d2e18b21d6684007f390d67bdf1d56c,dragoon,move
audio/classic/units/dragoon/move/PDrYes05__8870a56b53.wav,8870a56b53ca93bd0d4eb05d409aceff534dfa0d472f7a0df8ec4b2d1784ec89,dragoon,move
audio/classic/units/dragoon/move/pdrRdy00__354740bebf.wav,354740bebf1b8eb35b404801fc79c4192beab7e793b38ee6b130f7816f1d4479,dragoon,move
audio/classic/units/ghost/attack/alias_ghost_tghyes02__e2377a446e.wav,e2377a446e50f09efd545a16ef1b93b9cca4526335cf7169d6a7c0d282fd6991,ghost,attack
audio/classic/units/ghost/attack/alias_ghost_tghyes03__8809836f00.wav,8809836f0011e7caac921edf78a0d9f3668cd5daaf2f08b810eab5266ea161ae,ghost,attack
audio/classic/units/ghost/move/tghyes02__e2377a446e.wav,e2377a446e50f09efd545a16ef1b93b9cca4526335cf7169d6a7c0d282fd6991,ghost,move
audio/classic/units/ghost/move/tghyes03__8809836f00.wav,8809836f0011e7caac921edf78a0d9f3668cd5daaf2f08b810eab5266ea161ae,ghost,move
audio/classic/units/goliath/chatter/TGoPss00__80db3c9917.wav,80db3c9917d9921bd2b94b123d0de2462f10402b9b56ab5c42eeeec5dbcea02c,goliath,chatter
audio/classic/units/goliath/chatter/TGoPss01__ea8216d194.wav,ea8216d19411b1027644c2766c8cbae545fc440ba5849028a8ae83ff0c5197c5,goliath,chatter
audio/classic/units/goliath/chatter/TGoPss02__a5dc2ef296.wav,a5dc2ef296c4e88aafe6d94be26d476331afc08ad44fea9ba19137b25eb16cc0,goliath,chatter
audio/classic/units/goliath/chatter/TGoPss03__476e1272b6.wav,476e1272b60c24b229882bb1b64b485f360867d583c43f8cd19a361a70972fd9,goliath,chatter
audio/classic/units/goliath/chatter/TGoPss04__2fedd1a6b9.wav,2fedd1a6b9f2daa02d0d72c89ad4107202b00c87927e8c948bf1b78a2be490ce,goliath,chatter
audio/classic/units/goliath/chatter/TGoPss05__303558e139.wav,303558e139e18155f262c6b8eea4b138887062a3944865a929bd03361f114ba3,goliath,chatter
