asset_path,roles,source,sha256
audio/units/battlecruiser/canonical/03dcefe1e29a7f57__Battlecruiser_What05.ogg,move,SC2 game-data canonical recovery,03dcefe1e29a7f5714dd4d7ec1efd399b259a5bdc2be0e8a06ee6c42df36390a
audio/units/battlecruiser/canonical/3ff16f1b9bb099d0__Battlecruiser_Yes00.ogg,move,SC2 game-data canonical recovery,3ff16f1b9bb099d07af52d352b2aaf90da265ba06d78e753f86dc09d2aab9a9f
audio/units/battlecruiser/canonical/d911f0bb0e17ceb1__Battlecruiser_Yes01.ogg,move,SC2 game-data canonical recovery,d911f0bb0e17ceb1232b6037d3589129c96131174135f6d818d7034c9cadb1cc
audio/units/battlecruiser/canonical/6d2a2442e4a01c2c__Battlecruiser_Yes02.ogg,move,SC2 game-data canonical recovery,6d2a2442e4a01c2c3ccea403474203fabc648298041e025d747e49a0bef18263
audio/units/brood_lord/canonical/cbec2f97658acb93__BroodLord_Attack1.ogg,attack,SC2 game-data canonical recovery,cbec2f97658acb9312ba124ae410d2311afba9286b23a6034f6eaee9994c5dbd
audio/units/brood_lord/canonical/f041ad116c6b4766__BroodLord_Attack2.ogg,attack,SC2 game-data canonical recovery,f041ad116c6b47667d8332e740eec5bd19e0cf8e70dc281669deac1470013f98
audio/units/brood_lord/canonical/53f3c739fa95d01c__BroodLord_Attack0.ogg,attack|chatter,SC2 game-data canonical recovery,53f3c739fa95d01cc6fcea9801ada7238a04d02e5f4dea5f7d37f0fc73c2816c
audio/units/brood_lord/canonical/4156527496216ded__BroodLord_Death0.wav,death,SC2 game-data canonical recovery,4156527496216ded7208572fab5be92612b47625f7459cb3a9bfed9f13bf6910
audio/units/brood_lord/canonical/41dbeec9558281cd__BroodLord_Ready0.ogg,move,SC2 game-data canonical recovery,41dbeec9558281cdc249ef12658f4ae3747c584d3fb53b0d7f622c109aa21d69
audio/units/brood_lord/canonical/e2760b876f2ed708__BroodLord_Ready1.ogg,move,SC2 game-data canonical recovery,e2760b876f2ed70860ab8170e8cb9cc02662000eb6786a7e93e8a744068dd614
audio/units/brood_lord/canonical/6e0060dca0cacd32__BroodLord_Ready2.ogg,move,SC2 game-data canonical recovery,6e0060dca0cacd324c3b8f51fb96c94a3d702d04f8cac17ab65b670309dab722
audio/units/brood_lord/canonical/92b72b5c15ab4fd5__BroodLord_What0.ogg,move,SC2 game-data canonical recovery,92b72b5c15ab4fd5b8a26c16681179c30ccd49002156675ee0443a09312aa29d
audio/units/brood_lord/canonical/3dec5000247e2f7b__BroodLord_What1.ogg,move,SC2 game-data canonical recovery,3dec5000247e2f7b842a72803c4ca8fb2dc50bc28e8772f5eb83caaea0267972
