filename,pack_relative_path,original_source_path,bytes,duration_seconds,sha256,game_expansion,sound_ids,copy_integrity
MainTitleSC1-01.ogg,MainTitleSC1-01.ogg,C:\Users\psych\Desktop\SC2_Local_Audio_Rip\RAW_GAME_AUDIO\mods\liberty.sc2mod\base.sc2assets\Assets\Music\MainTitleSC1-01.ogg,8854606,438.165,9ae43f07deaaf70964aa0142e345826c33ec2cdbe56f5978153ac8a2bb239871,Wings of Liberty | SC2 General/Front End,GlueMusicGeneralIntro | GlueMusicGeneralStartup | GlueMusicLibertyIntro | GlueMusicLibertyLoop | GlueMusicLibertyStartup,PASS_BYTE_IDENTICAL
BattleNet_MusicwithEndFade.ogg,BattleNet_MusicwithEndFade.ogg,C:\Users\psych\Desktop\SC2_Local_Audio_Rip\RAW_GAME_AUDIO\mods\liberty.sc2mod\base.sc2assets\Assets\Music\BattleNet_MusicwithEndFade.ogg,4860787,240.194,7a9b81fa1a5657838d05919532756f956e45996dc3fba017c5b1c92ea084d961,Wings of Liberty | SC2 General/Front End,GlueMusicGeneralLoop | GlueMusicLibertyLoop,PASS_BYTE_IDENTICAL
MainTitleIntro.ogg,MainTitleIntro.ogg,C:\Users\psych\Desktop\SC2_Local_Audio_Rip\RAW_GAME_AUDIO\mods\liberty.sc2mod\base.sc2assets\Assets\Music\MainTitleIntro.ogg,665241,32.879,e722c66668850080367bd5a68c0e4d1b3240ba66e9e91829ce77eb7ab4c17ec6,SC2 front end (exact expansion unresolved),Music_MainTitleIntro,PASS_BYTE_IDENTICAL
